Parameter,Value,Min (%),Mean (%),Max (%),Samples
K,K=13,66.7,74.0,81.0,12
K,K=15,64.3,72.4,81.0,12
Extractor,EfficientNetB1 FT,28.6,65.9,88.1,328
Extractor,MobileNetV2 FT,31.0,62.6,83.3,328
Extractor,ResNet50 FT,7.1,58.6,85.7,328
Media,Same Medium (E1),4.8,57.5,83.3,309
Media,YES (E3),21.4,55.6,88.1,296
Extractor,ResNet50 PT,7.1,53.3,78.6,320
Media,All Media (E2),7.1,52.9,85.7,308
Aggregation,Weighted,14.3,52.6,85.7,383
Aggregation,Freq×Strength,7.1,52.6,88.1,382
Media,All-Except CREA (E4),7.1,52.1,85.7,296
Aggregation,Per-Query Avg,14.3,51.9,85.7,370
Aggregation,Relative,14.3,51.9,85.7,370
K,K=11,7.1,51.9,85.7,561
Aggregation,Per-Query Norm Avg,14.3,51.8,85.7,370
Aggregation,Uniform,14.3,51.8,85.7,370
Media,All-Except DG18 (E4),7.1,51.6,85.7,296
K,K=5,4.8,49.9,85.7,800
Media,All-Except MEA (E4),7.1,49.6,81.0,296
Extractor,EfficientNetB1 PT,11.9,49.4,78.6,320
Extractor,MobileNetV2 PT,7.1,49.1,81.0,320
K,K=7,4.8,48.8,85.7,800
Extractor,ColorHist HSV,26.2,48.2,73.8,240
Media,All-Except YES (E4),7.1,47.3,78.6,296
Aggregation,Max Score,11.9,47.3,85.7,370
K,K=3,7.1,46.7,88.1,800
Media,DG18 (E3),21.4,46.3,76.2,296
Media,MEA (E3),19.0,45.4,64.3,296
Extractor,ColorHist HS,14.3,40.3,59.5,240
Aggregation,Per-Species Avg,4.8,34.3,88.1,370
Media,CREA (E3),7.1,34.1,52.4,296
Extractor,HOG,4.8,29.4,57.1,320
Extractor,Gabor,4.8,27.3,45.2,241
